id,plan_id,title,why_this_matters,what_you_can_do,display_order
n0000000-0000-4000-a000-000000000017,a0000000-0000-4000-a000-000000000006,Remove Limiting Beliefs,The lines of your palm reflect your potential but limiting beliefs stop you from accessing it. Your head line shows the intellectual capacity to reframe any story that no longer serves you.,Write down three beliefs that hold you back. Rewrite each as an empowering affirmation that reflects who you are becoming and say it aloud each morning.,2
n0000000-0000-4000-a000-000000000018,a0000000-0000-4000-a000-000000000006,Step Into Your Potential,Purpose without action remains a fantasy. Your fate line shows that forward movement however small creates momentum that builds on itself over time.,Choose one action your future self would take and do it today. Share your growth intention with one trusted person to create accountability.,3
n0000000-0000-4000-a000-000000000019,a0000000-0000-4000-a000-000000000007,Reflect on Your Life Story,Your destiny is not separate from your history. It is built from it. The depth of your life line reveals that your most formative experiences carry the seeds of your greatest contribution.,Write a timeline of your five most defining life moments and what each one taught you. Identify one recurring theme or gift that runs through all of them.,1
n0000000-0000-4000-a000-000000000020,a0000000-0000-4000-a000-000000000007,Align Actions With Values,When your daily actions contradict your deepest values you experience friction and dissatisfaction. Your Apollo line shows you have a clear sense of what truly matters to you.,List your top five personal values in order of importance. Evaluate how well your current daily actions reflect each value and identify the one gap you will close this week.,2
n0000000-0000-4000-a000-000000000021,a0000000-0000-4000-a000-000000000007,Embrace Your Unique Path,Your destiny is not someone else's version of success. It is the unique expression of your specific gifts in the world. Your palm has its own fingerprint and so does your calling.,Write a personal mission statement in one sentence. Make one decision today guided entirely by this statement.,3
n0000000-0000-4000-a000-000000000022,a0000000-0000-4000-a000-000000000008,Map Your Business Vision,Successful businesses are built on a clear compelling vision. Your Mercury mount reveals strong entrepreneurial instincts. Give them a specific target to organise around.,Write a one-paragraph description of your business three years from now. Identify your top three ideal customers and what they value most about what you offer.,1
n0000000-0000-4000-a000-000000000023,a0000000-0000-4000-a000-000000000008,Identify Opportunities,Every thriving business finds and fills a gap. Your head line shows strong analytical ability. Use it to scan your market with fresh eyes and identify what others are missing.,List three market gaps you are positioned to address. Research your top three competitors and note one significant thing each is not doing that you could do better.,2
n0000000-0000-4000-a000-000000000024,a0000000-0000-4000-a000-000000000008,Build Your Network,Business grows at the speed of relationships. Your Apollo line indicates natural charisma and the ability to build meaningful professional bonds that open doors.,Identify five people who could positively impact your business and reach out to one of them today with a genuine offer of value.,3
n0000000-0000-4000-a000-000000000025,a0000000-0000-4000-a000-000000000009,Discover Your Leadership Style,Authentic leadership starts with self-awareness. Your cross-palm reading reveals specific leadership traits encoded in both hands — strengths to amplify and blind spots to address.,Take one free online leadership assessment and note your top three strengths. Ask two team members how your leadership has positively impacted them recently.,1
n0000000-0000-4000-a000-000000000026,a0000000-0000-4000-a000-000000000009,Cultivate Influence,True influence is earned through genuine investment in the people you lead. Your Mercury mount reveals a talent for human connection that creates loyal high-performing teams.,Identify one team member who is underperforming and schedule a coaching conversation. Give specific positive feedback to one person on your team each day this week.,2
n0000000-0000-4000-a000-000000000027,a0000000-0000-4000-a000-000000000009,Lead With Purpose,The most enduring leaders are driven by a purpose larger than themselves. Your fate line indicates that when you lead from conviction others naturally follow.,Write your personal leadership philosophy in three sentences. Share it with your team and invite honest feedback.,3
n0000000-0000-4000-a000-000000000028,a0000000-0000-4000-a000-000000000010,Understand Your Body's Signals,Your body communicates constantly. Your life line and health line reveal specific areas where your body is asking for more attention right now.,Keep a body awareness journal for one week noting sleep quality energy digestion and mood. Identify the one lifestyle factor most correlated with your low-energy days.,1
n0000000-0000-4000-a000-000000000029,a0000000-0000-4000-a000-000000000010,Optimise Your Daily Habits,Longevity is built one daily choice at a time. Your Saturn mount reveals a natural capacity for discipline that applied to your health can compound into decades of extra vitality.,Log everything you eat for three days without judgement. Replace one processed food or energy-depleting habit with a nourishing alternative for the next 30 days.,2
n0000000-0000-4000-a000-000000000030,a0000000-0000-4000-a000-000000000010,Build Long-Term Wellness,Sustainable health is not a solo project. It thrives through community accountability and the integration of physical mental social and spiritual well-being.,Schedule four wellness activities this month: one physical one mental one social and one spiritual. Find an accountability partner and agree to check in weekly.,3
