id,action_id,step_number,content
s0000000-0000-4000-a000-000000000032,n0000000-0000-4000-a000-000000000016,2,List five activities that consistently make you lose track of time and leave you energised rather than drained. Look for the common thread — it points toward your authentic purpose.
s0000000-0000-4000-a000-000000000033,n0000000-0000-4000-a000-000000000017,1,"Write down three beliefs about yourself that hold you back from living your fullest life. Be specific: name the belief, where it comes from, and the price you have paid for carrying it."
s0000000-0000-4000-a000-000000000034,n0000000-0000-4000-a000-000000000017,2,"For each limiting belief, write a replacement affirmation that reflects who you are choosing to become. Say all three affirmations aloud every morning this week, looking at yourself in a mirror."
s0000000-0000-4000-a000-000000000035,n0000000-0000-4000-a000-000000000018,1,Ask yourself: What is the one action my future self — already living at full potential — would take today? Write it down and do it before 12 noon.
s0000000-0000-4000-a000-000000000036,n0000000-0000-4000-a000-000000000018,2,Tell one trusted person about the growth you are committing to. Ask them to check in with you in one week and be honest with you about what they observe.
s0000000-0000-4000-a000-000000000037,n0000000-0000-4000-a000-000000000019,1,"Create a simple timeline of your five most defining life moments — positive or challenging. For each one, write what it taught you about yourself and what it cost you."
s0000000-0000-4000-a000-000000000038,n0000000-0000-4000-a000-000000000019,2,Read your timeline from start to finish and write down the single most recurring theme you notice across all five moments. That theme is likely a cornerstone of your destiny.
s0000000-0000-4000-a000-000000000039,n0000000-0000-4000-a000-000000000020,1,"Write your top five personal values in order of importance, then score each one from 1 to 10 based on how well your current daily life actually honours it."
s0000000-0000-4000-a000-000000000040,n0000000-0000-4000-a000-000000000020,2,Identify your lowest-scoring value and choose one concrete change you will make this week to close the gap between the value you claim and the life you are actually living.
s0000000-0000-4000-a000-000000000041,n0000000-0000-4000-a000-000000000021,1,"Write your personal mission statement in a single sentence using this structure: I am here to [specific action] [specific who] so that [specific outcome]."
s0000000-0000-4000-a000-000000000042,n0000000-0000-4000-a000-000000000021,2,"Today, make one meaningful decision — about how you spend your time, energy, or resources — guided entirely and consciously by your mission statement. Record the decision and how it felt."
s0000000-0000-4000-a000-000000000043,n0000000-0000-4000-a000-000000000022,1,"Write a vivid one-paragraph description of your business three years from now: what it does, who it serves, the size, the culture, and the impact it has in the world."
s0000000-0000-4000-a000-000000000044,n0000000-0000-4000-a000-000000000022,2,"Identify your top three ideal customers. For each one, write down the single most important thing they value about what you offer and the number one problem they hire you to solve."
s0000000-0000-4000-a000-000000000045,n0000000-0000-4000-a000-000000000023,1,"List three market gaps or unmet customer needs in your industry that your skills and position make you uniquely qualified to address. Be specific about the gap, not just the general area."
s0000000-0000-4000-a000-000000000046,n0000000-0000-4000-a000-000000000023,2,"Research your three closest competitors and identify one significant thing each of them is failing to do for their customers. Write down how you could do it better or differently."
s0000000-0000-4000-a000-000000000047,n0000000-0000-4000-a000-000000000024,1,"Write the names of five people — customers, collaborators, or mentors — who could positively impact your business. For one of them, send a genuine specific message today offering real value first."
s0000000-0000-4000-a000-000000000048,n0000000-0000-4000-a000-000000000024,2,"Find one relevant industry event, online forum, or professional community and join it this week. Make one meaningful contribution — a thoughtful question, a useful resource, or a genuine response."
s0000000-0000-4000-a000-000000000049,n0000000-0000-4000-a000-000000000025,1,"Take a free leadership assessment online and write down your top three strengths and the two growth areas that appear most consistently across your results."
s0000000-0000-4000-a000-000000000050,n0000000-0000-4000-a000-000000000025,2,"Ask two team members individually: What is one specific way my leadership has helped you do better work? Listen fully without deflecting, defending, or minimising what they share."
s0000000-0000-4000-a000-000000000051,n0000000-0000-4000-a000-000000000026,1,"Identify the one team member who is most struggling and schedule a 30-minute conversation focused entirely on understanding their obstacles — not solving them for them."
s0000000-0000-4000-a000-000000000052,n0000000-0000-4000-a000-000000000026,2,"For five consecutive days, give one specific behavioural piece of positive feedback to a different team member each day. Make it precise enough that they could repeat the behaviour on purpose."
s0000000-0000-4000-a000-000000000053,n0000000-0000-4000-a000-000000000027,1,"Write your personal leadership philosophy in exactly three sentences: one about your beliefs about people, one about what you stand for as a leader, and one about the legacy you want to leave."
s0000000-0000-4000-a000-000000000054,n0000000-0000-4000-a000-000000000027,2,"Share your leadership philosophy with your team in a meeting or message. Explicitly invite honest feedback and receive it without becoming defensive, taking notes on what resonates with them."
s0000000-0000-4000-a000-000000000055,n0000000-0000-4000-a000-000000000028,1,"Each morning for seven days, spend 3 minutes writing four things in a journal: sleep quality out of 10, energy level out of 10, digestion notes, and current mood in one word."
s0000000-0000-4000-a000-000000000056,n0000000-0000-4000-a000-000000000028,2,"At the end of the week, review your entries and identify the single lifestyle factor that most consistently correlates with your lowest-energy days. That is your first priority to address."
s0000000-0000-4000-a000-000000000057,n0000000-0000-4000-a000-000000000029,1,"For three consecutive days, log everything you eat and drink including approximate quantities. Do this without judgement — the goal is data, not shame."
s0000000-0000-4000-a000-000000000058,n0000000-0000-4000-a000-000000000029,2,"Choose one specific processed food, refined sugar source, or energy-depleting habit and replace it with a nourishing alternative for the next 30 days. Put it in your calendar as a commitment."
s0000000-0000-4000-a000-000000000059,n0000000-0000-4000-a000-000000000030,1,"Open your calendar and schedule four wellness activities for this month: one that is primarily physical, one mental, one social, and one spiritual. Treat these as non-negotiable appointments."
s0000000-0000-4000-a000-000000000060,n0000000-0000-4000-a000-000000000030,2,"Identify one person in your life who shares your wellness goals or is willing to support them. Reach out today and propose a simple weekly check-in — even a 5-minute text exchange counts."
